x_user_id,username,name,company,title,description,followers_count,verified,sample_hiring_tweet,sample_tweet_id
1001,sama,Sam Altman,OpenAI,CEO,"building AGI. we are hiring world-class research and distributed systems engineers",3100000,true,"Our infrastructure team is expanding rapidly. Looking for senior systems engineers to scale training clusters. DM me if interested.",18001001
1002,levelsio,Pieter Levels,Remote,Founder,"Bootstrapping indie startups. Hiring Python/AI contractors.",480000,true,"Looking for a Python/FastAPI wizard to help optimize backend data pipelines. Reply with your portfolio.",18001002
1003,gdb,Greg Brockman,OpenAI,President & Co-Founder,"focused on making AGI beneficial to humanity. We are hiring!",1450000,true,"Excited to welcome new talent to our compute and backend teams. Open roles across infra and AI reasoning.",18001003
1004,swyx,Shawn Wang,Smol AI,AI Engineer & Founder,"AI Engineer Foundation. Latent Space podcast. Hiring AI infra devs.",195000,true,"We are hiring founding engineers passionate about local LLMs, agents, and real-time streaming APIs.",18001004
1005,kaboris,Boris Cherny,Stripe,Staff Engineer,"Engineering at Stripe. Building high-availability payment systems.",42000,false,"Stripe Payments team is looking for Senior/Staff Backend Engineers in US/EU/Remote. Happy to refer strong engineers!",18001005
1006,karpathy,Andrej Karpathy,Eureka Labs,Founder & AI Researcher,"Building Eureka Labs. Formerly Tesla AI, OpenAI.",1200000,true,"Hiring talented engineers who love clean code, neural nets, and building fast intuitive tools.",18001006
1007,dhh,David Heinemeier Hansson,37signals,CTO,"Creator of Ruby on Rails. Pragmatic programmer.",530000,true,"We are hiring senior systems operations and fullstack developers at 37signals.",18001007
1008,paulg,Paul Graham,Y Combinator,Co-Founder,"Y Combinator founder. Essayist.",1800000,true,"Many top YC startups are hiring founding engineers right now in San Francisco and Remote.",18001008
1009,rauchg,Guillermo Rauch,Vercel,CEO,"Making the Web. Faster. Vercel.",310000,true,"Vercel is actively hiring Distributed Systems, Frontend Infra, and AI platform engineers!",18001009
1010,techrecruiter_meta,Jessica Taylor,Meta,Technical Recruiter,"Recruiting Staff & Principal Engineers across Meta Infra and Llama teams.",28000,false,"Hiring Senior Backend Engineers for Meta's core AI infrastructure in Menlo Park/Remote. Open to referrals!",18001010
1011,google_eng_lead,David Chen,Google,Engineering Director,"Cloud Infrastructure & Distributed Database Engineering at Google.",35000,false,"My team at Google Cloud is growing. Looking for distributed storage and high-throughput systems leads.",18001011
1012,anthropic_talent,Elena Vance,Anthropic,Talent Lead,"Connecting brilliant engineers to Anthropic's Claude research and product teams.",31000,false,"Anthropic is hiring across Fullstack, Security, and Scalable Training Systems. Referrals welcome.",18001012
